Exhibit Category	Exhibit Subcategory (if applicable)	Image Filename	XML Filename	Artist Name	Active Dates	Publication Date	Creation Date	Format	Donor	Location	Rights	Description
1941		Atlas-Geography_of_the_Heavens-Burritt-1833-01.jpg, Atlas-Geography_of_the_Heavens-Burritt-1833-02.jpg	Atlas-Geography_of_the_Heavens-Burritt-1833-01-02.xml	Atlas Designed to Illustrate the Geography of the Heavens	Burritt, Elijah H. (Elijah Hinsdale), 1794-1838	1833	-	Astronomical charts	Sevier Oversize Collection, QB65 .B87 1833	Vanderbilt University Special Collections	Public Domain	The 18th and 19th century saw an exponential growth in the number of identified stars due to technological improvements. From ancient times until around 1600, the number of identified stars remained at around 1000. But by 1800, scientists had identified over 100,000 stars. American mathematician and astronomer Elijah Burritt published his atlas as a poor man's substitute for a celestial globe. Designed for teaching astronomy, the atlas illustrated stars visible to the naked eye.
1941		Encyclopedie_Prospectus-Diderot-1751.jpg	Encyclopedie_Prospectus-Diderot-1751.xml	Encyclopédie, ou Dictionnaire Raisonné des Sciences	Diderot, Denis, 1713-1784, Alembert, Jean Le Rond d', 1717-1783, Imprimerie nationale (France)	1950	1751	Encyclopedias	W.T. Bandy Center for Baudelaire Studies, Morris Wachs Collection, AE25 .E555 1751a	W.T. Bandy Center for Baudelaire Studies	Public Domain	Denis Diderot, a key figure in the advancement of Enlightenment philosophy, envisioned the project of the Encyclopedie with his collaborator Jean D’Alembert. The prospectus was accompanied by a diagram of the “Map of Human Knowledge” which Diderot described as "the Genealogical Tree of All the Arts and Sciences." The Systême figuré groups all learning under memory (history), reason (philosophy) or imagination (poetry). God, as the source of knowledge, is conspicuously absent.
1941		Essai_Politique-Humboldt-1825.jpg	Essai_Politique-Humboldt-1825.xml	Political Essay on the Kingdom of New Spain, Essai Politique sur le Royaume de la Nouvelle-Espagne	Humboldt, Alexander von, 1769-1859, Renouard, Chez Antoine-Augustin	1825	-	Books	Annex, 917.2 H91e2, Volume 1	Vanderbilt University Library	Public Domain	Friedrich Wilhelm Heinrich Alexander von Humboldt was a Prussian naturalist and geographer who explored areas of Latin America between 1799 and 1804 under the recommendation of the King of Spain. His research led to his hypothesis that lands bordering the Atlantic Ocean were once joined. Here, Humboldt delineates the longitude and latitudes of Mexican villages, research which led to new discoveries in the origins of atmospheric disturbances.
1941		Grand_Plan_de_Paris-Taride-1675.jpg	Grand_Plan_de_Paris-Taride-1675.xml	Paris vers 1675: Grand Plan de Paris et de Ses Environs, Grand Plan de Paris et de Ses Environs	Jouvin de Rochefort, Albert, fl. 1672, Bonnardot, Alfred, Taride, A.	1675	1530	Historical maps	Sevier Oversize Collection, G5834 .P3 1675 .J6	Vanderbilt University Special Collections	Public Domain	This 1530 map of Paris depicts key edifices of the French capital and its distinctive topographic features. Printer and cartographer Albert Jouvin Rochefort (c. 1540- c. 1710) included the map in his nine-panel 1672 district map of Paris. Rochefort's map expands on Arnoullet's, particularly in the growing urban center of Paris, where speculators were hoping to build large hotels that the narrow streets of the old city could not accommodate.
1941		Histoire_Naturelle-1873.jpg	Histoire_Naturelle-1873.xml	Histoire Naturelle: Générale et Particulière	Buffon, Georges Louis Leclerc, comte de, 1707-1788, Dufart, François, 1748-	1800	-	Encyclopedias	Science and Engineering Library, 570 B92h, Volume 23	Sarah Shannon Stevenson Science & Engineering Library	Public Domain	Buffon's Histoire Naturelle was an undertaking on the scale of Diderot and D'Alembert's Encyclopedie. In this “Table of the Order of Dogs," Buffon presents his definition of species (against that of Linnaeus!) as beings defined by time, environment, and interaction with people—instead of by God’s eternal plan. From the dogs at the center top of the chart, we move both forward in time and to more temperate climates where species of dog are perfected according to their relationship with mankind.
1941		Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.jpg	Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.xml	Hore Beate Marie Virginis Scd'm Usum Romanii Sine Require, Heures Gotic, Book of Hours	Catholic Church	-	1503-1503?	Books of hours	Nettie Hale Rand Collection of Fine Bindings and Printing, BX2080 .C37 1503	Vanderbilt University Special Collections	Public Domain	This printed book of hours offered the owner not just a cycle of prayers but medical advice as well, including when to be bled. Zodiacal Man’s midsection indicates which planets rule which parts of the body: Jupiter affects his liver, the moon his head, and so on. The smaller figures at the corners are types of the four humors. Doctors as far back as Hippocrates knew that an imbalance of the body’s four fluids, known as humors, resulted in distortions of health and character.
1941		Micrographia-Hooke-1667.jpg	Micrographia-Hooke-1667.xml	Micrographia: or, Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses	Hooke, Robert, 1635-1703, Allestry, James, -1670	1667	-	Books	Sevier Oversize Collection, QH271 .H8	Vanderbilt University Special Collections	Public Domain	The optical microscope first appeared in the 1590s, but the use of microscopes for research did not gain acceptance until the 1660s. It was then that English natural philosopher Robert Hooke began an extended set of experiments with the microscope on plants, insects and combustion and respiration. The large plates in his Micrographia, created with the support of architect Christopher Wren, confirmed the value of the microscope for discovering natural worlds previously invisible to the human eye.
1941		Muybridge_Work_at_the_University_of_Pennsylvania-1888.jpg	Muybridge_Work_at_the_University_of_Pennsylvania-1888.xml	Animal Locomotion: the Muybridge Work at the University of Pennsylvania, the Method and the Result	Marks, William Dennis, 1849-1914, Allen, Harrison, 1841-1897, Dercum, Francis X. (Francis Xavier), 1856-1931, University of Pennsylvania, Muybridge, Eadweard, 1830-1904, J.B. Lippincott Company	1888	-	Books	Science and Engineering Library, Annex, 591.47 P41a	Sarah Shannon Stevenson Science & Engineering Library	Public Domain	British photographer Edweard Muybridge pioneered work on animal locomotion using multiple cameras to capture motion in still photographs. After success as a photographer of the American West, Muybridge was sponsored by the University of Pennsylvania in the 1880s, providing banks of cameras and staff to photograph people in his studio and animals at the Philadelphia Zoo. Between 1883 and 1886, Muybridge made more than 100,000 images, from which these sketches originated.
1941		Nuremberg_Chronicle-1492.jpg	Nuremberg_Chronicle-1492.xml	Registrum Huius Operis Libri Cronicarum Cu[m] Figuris et Ymag[in]ibus Ab Inicio Mu[n]di, Liber Chronicarum, Nuremberg Chronicle	Schedel, Hartmann, 1440-1514, Koberger, Anton, approximately 1440-1513, Schreyer, Sebald, 1446-1520, Kammermeister, Sebastian, Wolgemut, Michael, 1434-1519, Pleydenwurff, Wilhelm, -1494, Dürer, Albrecht, 1471-1528	1493-07-12	-	Incunabula	Sevier Oversize Collection, CE57 .S3 1493	Vanderbilt University Special Collections	Public Domain	This folio depicts the universe as a Ptolemaic system informed by the medieval church. The Earth forms the center (with an inverted landscape), followed by spheres of water, air and fire, the seven known planets, the firmament and its crystal ceiling and the prime moving force. The ethereal world follows in a crescent containing God and the celestial beings. The geocentric view of the universe would be supplanted by Nicolas Copernicus, who proved the sun was the center of the universe in 1530.
1941		Phytologia-Darwin-1800.jpg	Phytologia-Darwin-1800.xml	Phytologia: Or, the Philosophy of Agriculture and Gardening	Darwin, Erasmus, 1731-1802	1800	-	Books	Science and Engineering Library, Annex, 580 D22p	Sarah Shannon Stevenson Science & Engineering Library	Public Domain	Erasmus Darwin was a British physician, scientist, inventor and poet who originated the ideas of natural selection and photosynthesis. He published Zoonomia after 20 years of remaining silent due to public censure. His grandson Charles would further these ideas in On the Origin of Species. Phytologia, a seminal book on plant science, detailed photosynthesis and identified essential plant nutrients. His final book traced the evolution of life from the microscopic to humankind.
