BASE_URI	TITLE	DATE	FORMAT	CONTRIBUTOR	SUBJECT	DESCRIPTION	SOURCE	RIGHTS	FILE_PATH	FILE_NAME	TAGS
Metadata/1941/Atlas-Geography_of_the_Heavens-Burritt-1833-01-02.xml	Atlas Designed to Illustrate the Geography of the Heavens	1833	Astronomical charts	Burritt, Elijah H. (Elijah Hinsdale), 1794-1838	Stars--Atlases|Astronomy--Charts, diagrams, etc.|Astrographic catalog and chart	The 18th and 19th century saw an exponential growth in the number of identified stars due to technological improvements. From ancient times until around 1600, the number of identified stars remained at around 1000. But by 1800, scientists had identified over 100,000 stars. American mathematician and astronomer Elijah Burritt published his atlas as a poor man's substitute for a celestial globe. Designed for teaching astronomy, the atlas illustrated stars visible to the naked eye.	Sevier Oversize Collection, QB65 .B87 1833	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Atlas-Geography_of_the_Heavens-Burritt-1833-01.jpg|http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Atlas-Geography_of_the_Heavens-Burritt-1833-02.jpg	Atlas-Geography_of_the_Heavens-Burritt-1833-01.jpg|Atlas-Geography_of_the_Heavens-Burritt-1833-02.jpg	1941|2015 Exhibits
Metadata/1941/Encyclopedie_Prospectus-Diderot-1751.xml	Encyclopédie, ou Dictionnaire Raisonné des Sciences	1751|1950	Encyclopedias	Diderot, Denis, 1713-1784|Alembert, Jean Le Rond d', 1717-1783|Imprimerie nationale (France)	Encyclopedias and dictionaries, French--Specimens	Denis Diderot, a key figure in the advancement of Enlightenment philosophy, envisioned the project of the Encyclopedie with his collaborator Jean D’Alembert. The prospectus was accompanied by a diagram of the “Map of Human Knowledge” which Diderot described as "the Genealogical Tree of All the Arts and Sciences." The Systême figuré groups all learning under memory (history), reason (philosophy) or imagination (poetry). God, as the source of knowledge, is conspicuously absent.	W.T. Bandy Center for Baudelaire Studies, Morris Wachs Collection, AE25 .E555 1751a	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Encyclopedie_Prospectus-Diderot-1751.jpg	Encyclopedie_Prospectus-Diderot-1751.jpg	1941|2015 Exhibits
Metadata/1941/Essai_Politique-Humboldt-1825.xml	Political Essay on the Kingdom of New Spain|Essai Politique sur le Royaume de la Nouvelle-Espagne	1825	Books	Humboldt, Alexander von, 1769-1859|Renouard, Chez Antoine-Augustin	Scientific expeditions	Friedrich Wilhelm Heinrich Alexander von Humboldt was a Prussian naturalist and geographer who explored areas of Latin America between 1799 and 1804 under the recommendation of the King of Spain. His research led to his hypothesis that lands bordering the Atlantic Ocean were once joined. Here, Humboldt delineates the longitude and latitudes of Mexican villages, research which led to new discoveries in the origins of atmospheric disturbances.	Annex, 917.2 H91e2, Volume 1	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Essai_Politique-Humboldt-1825.jpg	Essai_Politique-Humboldt-1825.jpg	1941|2015 Exhibits
Metadata/1941/Grand_Plan_de_Paris-Taride-1675.xml	Paris vers 1675: Grand Plan de Paris et de Ses Environs|Grand Plan de Paris et de Ses Environs	1530|1675	Historical maps	Jouvin de Rochefort, Albert, fl. 1672|Bonnardot, Alfred|Taride, A.	Paris (France)--Maps	This 1530 map of Paris depicts key edifices of the French capital and its distinctive topographic features. Printer and cartographer Albert Jouvin Rochefort (c. 1540- c. 1710) included the map in his nine-panel 1672 district map of Paris. Rochefort's map expands on Arnoullet's, particularly in the growing urban center of Paris, where speculators were hoping to build large hotels that the narrow streets of the old city could not accommodate.	Sevier Oversize Collection, G5834 .P3 1675 .J6	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Grand_Plan_de_Paris-Taride-1675.jpg	Grand_Plan_de_Paris-Taride-1675.jpg	1941|2015 Exhibits
Metadata/1941/Histoire_Naturelle-1873.xml	Histoire Naturelle: Générale et Particulière	1800	Encyclopedias	Buffon, Georges Louis Leclerc, comte de, 1707-1788|Dufart, François, 1748-	Natural history	Buffon's Histoire Naturelle was an undertaking on the scale of Diderot and D'Alembert's Encyclopedie. In this “Table of the Order of Dogs," Buffon presents his definition of species (against that of Linnaeus!) as beings defined by time, environment, and interaction with people—instead of by God’s eternal plan. From the dogs at the center top of the chart, we move both forward in time and to more temperate climates where species of dog are perfected according to their relationship with mankind.	Science and Engineering Library, 570 B92h, Volume 23	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Histoire_Naturelle-1873.jpg	Histoire_Naturelle-1873.jpg	1941|2015 Exhibits
Metadata/1941/Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.xml	Hore Beate Marie Virginis Scd'm Usum Romanii Sine Require|Heures Gotic|Book of Hours	1503	Books of hours	Catholic Church	Catholic Church--Prayers and devotions|Books of hours--Texts--Early works to 1800	This printed book of hours offered the owner not just a cycle of prayers but medical advice as well, including when to be bled. Zodiacal Man’s midsection indicates which planets rule which parts of the body: Jupiter affects his liver, the moon his head, and so on. The smaller figures at the corners are types of the four humors. Doctors as far back as Hippocrates knew that an imbalance of the body’s four fluids, known as humors, resulted in distortions of health and character.	Nettie Hale Rand Collection of Fine Bindings and Printing, BX2080 .C37 1503	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.jpg	Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.jpg	1941|2015 Exhibits
Metadata/1941/Micrographia-Hooke-1667.xml	Micrographia: or, Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses	1667	Books	Hooke, Robert, 1635-1703|Allestry, James, -1670	Microscopes|Microscopy|Natural history--Pre-Linnean works	The optical microscope first appeared in the 1590s, but the use of microscopes for research did not gain acceptance until the 1660s. It was then that English natural philosopher Robert Hooke began an extended set of experiments with the microscope on plants, insects and combustion and respiration. The large plates in his Micrographia, created with the support of architect Christopher Wren, confirmed the value of the microscope for discovering natural worlds previously invisible to the human eye.	Sevier Oversize Collection, QH271 .H8	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Micrographia-Hooke-1667.jpg	Micrographia-Hooke-1667.jpg	1941|2015 Exhibits
Metadata/1941/Muybridge_Work_at_the_University_of_Pennsylvania-1888.xml	Animal Locomotion: the Muybridge Work at the University of Pennsylvania, the Method and the Result	1888	Books	Marks, William Dennis, 1849-1914|Allen, Harrison, 1841-1897|Dercum, Francis X. (Francis Xavier), 1856-1931|University of Pennsylvania|Muybridge, Eadweard, 1830-1904|J.B. Lippincott Company	Animal locomotion	British photographer Edweard Muybridge pioneered work on animal locomotion using multiple cameras to capture motion in still photographs. After success as a photographer of the American West, Muybridge was sponsored by the University of Pennsylvania in the 1880s, providing banks of cameras and staff to photograph people in his studio and animals at the Philadelphia Zoo. Between 1883 and 1886, Muybridge made more than 100,000 images, from which these sketches originated.	Science and Engineering Library, Annex, 591.47 P41a	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Muybridge_Work_at_the_University_of_Pennsylvania-1888.jpg	Muybridge_Work_at_the_University_of_Pennsylvania-1888.jpg	1941|2015 Exhibits
Metadata/1941/Nuremberg_Chronicle-1492.xml	Registrum Huius Operis Libri Cronicarum Cu[m] Figuris et Ymag[in]ibus Ab Inicio Mu[n]di|Liber Chronicarum|Nuremberg Chronicle	1493-07-12	Incunabula	Schedel, Hartmann, 1440-1514|Koberger, Anton, approximately 1440-1513|Schreyer, Sebald, 1446-1520|Kammermeister, Sebastian|Wolgemut, Michael, 1434-1519|Pleydenwurff, Wilhelm, -1494|Dürer, Albrecht, 1471-1528	History, Medieval--Chronology|Chronology, Historical--Early works to 1800|History, Medieval--Incunabula|Chronology, Historical--Early works to 1800|Chronology, Historical--Early works to 1800	This folio depicts the universe as a Ptolemaic system informed by the medieval church. The Earth forms the center (with an inverted landscape), followed by spheres of water, air and fire, the seven known planets, the firmament and its crystal ceiling and the prime moving force. The ethereal world follows in a crescent containing God and the celestial beings. The geocentric view of the universe would be supplanted by Nicolas Copernicus, who proved the sun was the center of the universe in 1530.	Sevier Oversize Collection, CE57 .S3 1493	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Nuremberg_Chronicle-1492.jpg	Nuremberg_Chronicle-1492.jpg	1941|2015 Exhibits
Metadata/1941/Phytologia-Darwin-1800.xml	Phytologia: Or, the Philosophy of Agriculture and Gardening	1800	Books	Darwin, Erasmus, 1731-1802	Botany|Agriculture	Erasmus Darwin was a British physician, scientist, inventor and poet who originated the ideas of natural selection and photosynthesis. He published Zoonomia after 20 years of remaining silent due to public censure. His grandson Charles would further these ideas in On the Origin of Species. Phytologia, a seminal book on plant science, detailed photosynthesis and identified essential plant nutrients. His final book traced the evolution of life from the microscopic to humankind.	Science and Engineering Library, Annex, 580 D22p	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Phytologia-Darwin-1800.jpg	Phytologia-Darwin-1800.jpg	1941|2015 Exhibits
