BASE_URI|TITLE|DATE|FORMAT|CONTRIBUTOR|SUBJECT|DESCRIPTION|SOURCE|RIGHTS|FILE_PATH
Metadata/1941/Atlas-Geography_of_the_Heavens-Burritt-1833-02.xml|Atlas Designed to Illustrate the Geography of the Heavens|1833|atlases|Burritt, Elijah H. (Elijah Hinsdale), 1794-1838|Astronomy|The 18th and 19th century saw an exponential growth in the number of identified stars due to technological improvements. From ancient times until around 1600, the number of identified stars remained at around 1000. But by 1800, scientists had identified over 100,000 stars. American mathematician and astronomer Elijah Burritt published his atlas as a poor man's substitute for a celestial globe. Designed for teaching astronomy, the atlas illustrated stars visible to the naked eye.|Sevier Oversize Collection/QB65 .B87 1833|published before 1923Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Encyclopedie_Prospectus-Diderot-1751.xml|Prospectus. Encyclopédie, ou Dictionnaire Raisonné des Sciences, des Arts et des Métiers: Dix Volumes In-folio dont Deux de Planches en Taille-douce, Proposés par Souscription / Recueilli des Meilleurs Auteurs et Particulierement des Dictionnaires Anglois de Chambers, D'Harris, de Dyche, &c. par une Société de Gens de Lettres ; Mis en Ordre et Publié par M. Diderot ; & quant à la Partie Mathématique, par M. d'Alembert|1751|Encyclopedias|Diderot, Denis, 1713-1784; Alembert, Jean Le Rond d', 1717-1783|Encyclopedias and dictionaries, French--Specimens|Denis Diderot, a key figure in the advancement of Enlightenment philosophy, envisioned the project of the Encyclopedie with his collaborator Jean D’Alembert. The prospectus was accompanied by a diagram of the “Map of Human Knowledge” which Diderot described as "the Genealogical Tree of All the Arts and Sciences."  The Système figuré groups all learning under memory (history), reason (philosophy) or imagination (poetry). God, as the source of knowledge, is conspicuously absent.|Morris Wachs Collection/AE25 .E555 1751a|published 1950; Facsimilie reproduction, Paris: Imprimerie Nationale; -- Atelier du Livre d'Art et de l'Estampe -- Rue des Frères Beaumont -- 59128 Flers en Escrébieux -- Tél : 03 27 93 70 70 -- Fax : 03 27 93 70 13 -- contact@imprimerienationale.frCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Encyclopedie_Prospectus-Diderot-1751.jpg
Metadata/1941/Grand_Plan_de_Paris-Taride-1675.xml|Paris vers 1530|1530; 1675|Historical maps|Arnoullet, Balthazar, active 16th century|Paris (France)--Maps|This 1530 map of Paris depicts key edifices of the French capital and its distinctive topographic features. Printer and cartographer Albert Jouvin Rochefort (c. 1540- c. 1710) included the map in his nine-panel1672 district map of Paris. Rochefort''s map expands on Arnoullet's, particularly in the growing urban center of Paris, where speculators were hoping to build large hotels that the narrow streets of the old city could not accommodate.|Sevier Collection/G5834 .P3 1675 .J6|published 1675Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Grand_Plan_de_Paris-Taride-1675.jpg
Metadata/1941/Histoire_Naturelle-1873.xml|Histoire Naturelle, Générale et Particulière|1800|encyclopedias|Buffon, Georges Louis Leclerc, comte de, 1707-1788|Encyclopedias and dictionaries, French--Specimens|Buffon's Histoire Naturelle was an undertaking on the scale of Diderot and D'Alembert's Encyclopedie.  In this “Table of the Order of Dogs, Buffon presents his definition of species (against that of Linnaeus!) as beings defined by time, environment, and interaction with people—instead of by God’s eternal plan. From the dogs at the center top of the chart, we move both forward in time and to more temperate climates where species of dog are perfected according to their relationship with mankind.|Science/570 B92h|pulbished before 1923Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.xml|"Zodiacal Man," Hore Beate Marie Virginis Scd'm Usum Romanii Sine Require|c. 1503|book of hours|Roman Catholic Church|Prayers, Early Christian|This printed book of hours offered the owner not just a cycle of prayers but medical advice as well, including when to be bled.  Zodiacal Man’s midsection indicates which planets rule which parts of the body: Jupiter affects his liver, the moon his head, and so on.  The smaller figures at the corners are types of the four humors. Doctors as far back as Hippocrates knew that an imbalance of the body’s four fluids, known as humors, resulted in distortions of health and character.|Nettie Hale Rand Collection of Fine Bindings and Printing Nettie/BX2080 .C37 1503|created in 1503Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Hore_beate_Marie_Virginis_scd'm_usum_Romanii_sine_require-Catholic_church-1503.jpg
Metadata/1941/Micrographia-Hooke-1667.xml|Micrographia: or, Some Physiological Descriptions of Minute Bodies Made by Magnifying Glasses. With Observations and Inquiries thereupon|1667|books|Hooke, Robert, 1635-1703|microscopes (optical instruments, <equipment for science and technology>,|The optical microscope first appeared in the 1590s but the use of microscopes for research did not gain acceptance until the 1660s. It was then that English natural philosopher Robert Hooke began an extended set of experiments with the microscope on plants, insects and combustion and respiration.  The large plates in his Micrographia, created with the support of architect Christopher Wren, confirmed the value of the microscope for discovering natural worlds previously invisible to the human eye.|Sevier Oversize Collection/QH271 .H8|published 1667Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Muybridge_Work_at_the_University_of_Pennsylvania-1888.xml|Animal Locomotion. The Muybridge Work at the University of Pennsylvania, the Method and the Result.|1888|books|Muybridge, Eadweard, 1830-1904.|Animal locomotion|British photographer Edweard Muybridge pioneered work on animal locomotion using multiple cameras to capture motion in still photographs.  After success as a photographer of the American West, Muybridge was sponsored by the University of Pennsylvania in the 1880s, providing banks of cameras and staff to photograph people in his studio and animals at the Philadelphia Zoo.  Between 1883 and 1886, Muybridge made more than 100,000 images, from which these sketches originated.|SCIENCE/591.47 P41a|published before 1923Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Nuremberg_Chronicle-1492.xml|Registrum Huius Operis Libri Cronicarum Cu[m] Figuris et Ymag[in]ibus Ab Inicio Mu[n]di|1493-07-12|incunabula|Schedel, Hartmann, (German printer, 1440-1514)|Chronology, Historical--Early works to 1800|This folio depicts the universe as a Ptolemaic system informed by the medieval church. The Earth forms the center (with an inverted landscape), followed by spheres of water, air and fire, the 7 known planets, the firmament and its crystal ceiling and the prime moving force.  The ethereal world follows in a crescent containing God and the celestial beings. The geocentric view of the universe would be supplanted by Nicolas Copernicus, who proved the sun was the center of the universe in 1530.|Sevier, Oversize, CE57 .S3 1493|published 1493Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/Nuremberg_Chronicle-1492.jpg
Metadata/1941/Phytologia-Darwin-1800.xml|Phytologia; or, ThePhilosophy of Agriculture and Gardening. With the Theory of Draining Morasses, and with an Improved Construction of the Drill Plough.|1800|books|Darwin, Erasmus, 1731-1802|Botany|Erasmus Darwin was a British physician, scientist, inventor and poet who originated the ideas of natural selection and photosynthesis. He published Zoonomia after 20 years of remaining silent due to public censure. His grandson Charles would further these ideas in On the Origin of Species.  Phytologia, a seminal book on plant science, detailed photosynthesis and identified elements essential plant nutrients. His final book traced the evolution of life from the microscopic to humankind.|SCIENCE/ 580 D22p|published before 1923Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Principia_Philosophiae-1685-Descartes.xml|"Pars Tertia," in Principia Philosophiæ. Ultima Editio cum Optima collata, Diligenter Recognita, & Mendis Expurgata|1685|books|Descartes, René (French philosopher, 1596-1650)|Physics|French philosopher, mathematician and writer René Descartes has been called the father of modern philosophy. His Principia Philosophiae, first published in 1644, put forth the theory that the universe operated as a continuously running machine which God had set in motion. The universe, which has no vacuum, was composed of a 'subtle matter' he named 'tourbillons,' which swirled in vortices like whirlpools and actually moved the planets by contact.|Memorabilia Collection/B1863 1685|published in 1685Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
